,journal,oldtier,ERS,repec_impact,repec_h,sjr,sh,tr_impact,tr_ef,econ_flag,note,REVIEW,,
67,agricultural and resource economics review,Tier III,1,1.649,11,0.4,22,NA,NA,1,NA,OK,,
158,agricultural history,Tier III,1,NA,NA,0.113,12,0.163,0.00019,0,NA,OK,,
212,agroforestry systems,NA,1,NA,NA,0.475,60,1.17,0.00219,0,NA,OK,,
139,agronomy journal,Tier II,1,NA,NA,0.741,102,1.614,0.00756,0,NA,OK,,
215,american journal of preventive medicine,NA,1,NA,NA,2.578,173,4.212,0.04223,0,NA,OK,,
35,applied economics,Tier II,1,2.351,27,0.464,62,0.648,0.0082,1,NA,OK,,
30,australian journal of agricultural and resource economics,Tier II,1,2.39,13,0.999,38,1.826,0.00113,1,NA,OK,,
79,brazilian review of economics and agribusiness,Tier III,1,0.74,1,NA,NA,NA,NA,1,NA,"Revista de Economia e Agronegocio / Brazilian Review of Economics and Agribusiness, Federal University ",In all Rankings Spreadshet,
186,childhood obesity,Tier III,1,NA,NA,1.118,20,2.243,0.00361,0,NA,OK,,
53,climate change economics,Tier II,1,1.146,9,NA,NA,NA,NA,1,NA,"In REPEC as Climate Change Economics (CCE), World Scientific Publishing Co. Pte. Ltd.",,
169,delhi business review,Tier III,1,NA,NA,NA,NA,NA,NA,NA,NA,OK,http://www.delhibusinessreview.org/board.htm,
24,economic development and cultural change,Tier I,1,6.07,19,1.148,55,0.875,0.0024,1,NA,"Listed in RePec as Economic Development and Cultural Change, University of Chicago Press",Listed twice in Scimago,All data correct
81,economic development and cultural change,Tier III,1,6.07,19,1.148,55,0.875,0.0024,1,NA,DUPLICATE RECORD,,
84,"economics, management and financial markets",Tier III,1,NA,NA,NA,NA,NA,NA,1,NA,https://addletonacademicpublishers.com/contributors,,
69,eurochoices,Tier III,1,0.267,3,0.255,9,NA,NA,1,NA,"In RePec as EuroChoices, The Agricultural Economics Society",,
109,food control,Tier I,1,NA,NA,1.462,86,3.496,0.02601,0,NA,https://www.journals.elsevier.com/food-control,,
227,food studies: an interdisciplinary journal,NA,1,NA,NA,NA,NA,NA,NA,0,NA,http://food-studies.com/journal,,
232,international food and agribusiness management review,NA,1,0.639,6,0.311,26,0.443,0.00068,0,NA,"In RePec as International Food and Agribusiness Management Review, International Food and Agribusiness ",Problem is misspelling in column B,
234,international journal of health geographics,NA,1,NA,NA,1.313,53,3.282,0.00386,0,NA,OK,,
160,international regional science review,Tier III,1,1.523,7,0.51,44,1.351,0.00085,0,NA,OK,,
65,journal of agribusiness,Tier III,1,0.728,2,NA,NA,NA,NA,0,NA,OK,http://www.caes.uga.edu/departments/ag-econ/journal-of-agribusiness.html,
6,journal of economic perspectives,Tier I,1,22.084,50,6.807,150,5.727,0.02555,1,NA,OK,,
244,journal of environmental economics and policy,NA,1,0.617,4,NA,NA,NA,NA,1,NA,OK,,
246,journal of financial counseling and planning,NA,1,NA,NA,0.137,27,NA,NA,1,NA,OK,https://www.afcpe.org/news-and-publications/journal-of-financial-counseling-and-planning,
17,journal of population economics,Tier I,1,8.744,29,1.587,60,1.136,0.00504,1,NA,OK,,
197,journal of swine health and production,Tier III,1,NA,NA,0.508,29,0.562,0.00065,0,NA,OK,https://www.aasv.org/shap/issues/,
144,journal of the american society of farm managers and rural appraisers,Tier II,1,0.172,2,NA,NA,NA,NA,0,NA,"In RePec as Journal of the ASFMRA, American Society of Farm Managers and Rural Appraisers",https://www.jstor.org/journal/jasfmra,
251,journal of the association for consumer research,NA,1,0.084,1,NA,NA,NA,NA,0,NA,OK,https://www.journals.uchicago.edu/loi/jacr,
92,managerial and decision economics,Tier III,1,1.395,11,0.394,36,NA,NA,1,NA,OK,https://onlinelibrary.wiley.com/journal/10991468,
177,population research and policy review,Tier III,1,0.708,7,0.914,38,1.211,0.00204,0,NA,OK,https://link.springer.com/journal/11113,
50,review of world economics,Tier II,1,6.702,23,0.733,41,0.967,0.00155,1,NA,"in Repec as Review of World Economics (Weltwirtschaftliches Archiv), Springer;Institut für Weltwirtschaft (Kiel Institute for the World Economy)",,
181,social security bulletin,Tier III,1,NA,NA,0.416,18,NA,NA,0,NA,OK,https://www.ssa.gov/policy/docs/ssb/,
271,telecommunications policy,NA,1,3.242,15,0.732,54,1.526,0.00227,0,NA,OK,,
